Div,Kode,Lembaga,D_P,D_NP,D_TOTAL,D_CERT_Y,D_CERT_N,D_P_ED_D1,D_P_ED_D2,D_P_ED_D3,D_P_ED_D4,D_P_ED_S1,D_P_ED_S2,D_P_ED_S3,D_P_ED_NONFORM,D_P_ED_INF,D_P_ED_MISC,D_P_ED_SP1,D_P_ED_SP2,D_P_ED_PROF,D_P_ED_NA
N,6002,Akademi Komunitas Negeri Putra Sang Fajar Blitar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,6003,Akademi Komunitas Negeri Aceh Barat ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11001,Universitas Islam Sumatera Utara ,225,100,325,99,126,0,0,0,0,18,170,17,0,0,0,6,1,1,10
1,11002,Universitas HKBP Nommensen ,370,60,430,130,232,0,0,0,0,72,246,37,0,0,0,0,0,0,14
1,11003,Universitas Muhammadiyah Sumatera Utara ,406,18,424,169,237,0,0,0,0,53,306,34,0,0,0,2,1,0,10
1,11004,Universitas Pembangunan Panca Budi ,212,7,219,45,167,0,0,0,0,57,132,11,0,0,0,0,0,2,10
1,11005,Universitas Simalungun ,130,3,133,67,63,0,0,0,0,21,100,8,0,0,0,0,0,0,1
1,11006,Universitas Methodist Indonesia ,163,16,179,49,114,0,0,0,0,30,113,12,0,0,0,0,0,0,8
1,11007,Universitas Darma Agung ,188,34,222,58,130,0,0,0,0,37,140,10,0,0,0,0,0,0,1
1,11008,Universitas Medan Area ,217,37,254,125,92,0,0,0,0,18,171,17,0,0,0,0,0,0,11
1,11009,Universitas Katolik Santo Thomas ,164,0,164,83,81,0,0,0,0,9,125,23,0,0,0,0,0,0,7
1,11010,Universitas Amir Hamzah ,65,6,71,22,43,0,0,0,0,22,39,3,0,0,0,0,0,0,1
1,11011,Universitas Sisingamangaraja XII ,63,0,63,20,43,0,0,0,0,31,32,0,0,0,0,0,0,0,0
1,11012,Universitas Dharmawangsa ,115,16,131,9,105,0,0,0,0,30,63,1,0,0,0,0,0,0,21
1,11014,Universitas Muhammadiyah Tapanuli Selatan ,128,94,222,32,96,0,0,0,0,34,85,1,0,0,0,0,0,0,8
1,11015,Universitas Graha Nusantara ,197,144,341,27,172,0,0,0,0,113,74,0,0,0,0,0,0,1,9
1,11016,Universitas Asahan ,114,20,134,18,96,0,0,0,0,19,87,2,0,0,0,0,0,0,6
1,11017,Universitas Alwashliyah ,101,18,119,6,95,0,0,0,0,5,76,4,0,0,0,0,0,0,16
1,11018,Universitas Sisingamangaraja XII Tapanuli Utara ,53,32,85,6,47,0,0,0,0,5,42,1,0,0,0,0,0,0,5
1,11025,Universitas Pembinaan Masyarakat Indonesia ,93,16,109,25,68,0,0,0,0,6,63,9,0,0,0,0,0,0,15
1,11026,Universitas Al-azhar ,77,44,121,15,62,0,0,0,0,3,72,1,0,0,0,0,0,0,1
1,11027,Universitas Muslim Nusantara Al-wasliyah ,215,10,225,58,157,0,0,0,0,53,143,13,0,0,0,0,0,0,6
1,11028,Universitas Islam Labuhan Batu ,23,0,23,0,23,0,0,0,0,17,6,0,0,0,0,0,0,0,0
1,11029,Universitas Tjut Nyak Dhien ,132,4,136,13,119,0,0,0,0,80,47,0,0,0,0,0,0,0,5
1,11033,Universitas Prima Indonesia ,266,69,335,30,237,0,0,0,0,22,186,16,0,0,0,13,2,3,24
1,11036,Universitas Dian Nusantara ,31,4,35,4,27,0,0,0,0,11,19,0,0,0,0,0,0,0,1
1,11037,Universitas Setia Budi Mandiri ,18,107,125,3,15,0,0,0,0,8,10,0,0,0,0,0,0,0,0
1,11038,Universitas Al-washliyah Labuhan Batu ,44,40,84,0,44,0,0,0,0,4,27,0,0,0,0,0,0,0,13
1,11040,Universitas Quality ,99,13,112,27,72,0,0,0,0,16,48,5,0,0,0,0,0,0,30
1,11041,Universitas Sutomo ,56,1,57,0,55,0,0,0,0,0,28,1,0,0,0,0,0,0,27
1,11042,Universitas Pelita Harapan Medan ,33,0,33,0,33,0,0,0,0,1,30,0,0,0,0,0,0,0,2
1,11044,Universitas Efarina ,28,1,29,0,28,0,0,0,0,0,5,0,0,0,0,0,0,0,23
1,11045,Universitas Sari Mutiara Indonesia Medan ,175,29,204,12,163,0,0,0,0,27,112,7,0,0,0,5,0,0,24
1,11046,Universitas Potensi Utama ,149,31,180,0,149,0,0,0,0,5,84,0,0,0,0,0,0,0,60
1,11047,Universitas Nahdlatul Ulama Sumatera Utara ,15,0,15,0,15,0,0,0,0,2,3,0,0,0,0,0,0,0,10
1,12001,IKIP Gunung Sitoli ,33,8,41,5,28,0,0,0,0,4,25,0,0,0,0,0,0,0,4
1,12003,Institut Teknologi Medan ,117,24,141,76,41,0,0,0,0,16,94,6,0,0,0,0,0,0,1
1,12004,Institut Sains Dan Teknologi Td Pardede ,47,28,75,10,37,0,0,0,0,17,30,0,0,0,0,0,0,0,0
1,12005,Institut Teknologi Del ,43,10,53,8,35,0,0,0,0,1,34,5,0,0,0,0,0,0,3
1,13001,Sekolah Tinggi Hukum YNI ,5,3,8,0,5,0,0,0,0,1,3,0,0,0,0,1,0,0,0
1,13002,STKIP Riama ,26,34,60,5,21,0,0,0,0,8,18,0,0,0,0,0,0,0,0
1,13003,Sekolah Tinggi Ilmu Ekonomi Swadaya Medan ,3,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,13004,Sekolah Tinggi Bahasa Asing Swadaya Medan ,13,0,13,1,12,0,0,0,0,11,2,0,0,0,0,0,0,0,0
1,13005,Sekolah Tinggi Ilmu Hukum Swadaya ,4,2,6,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0
1,13009,Sekolah Tinggi Ilmu Ekonomi Harapan ,56,1,57,21,35,0,0,0,0,4,48,3,0,0,0,0,0,0,1
1,13010,Sekolah Tinggi Bahasa Asing Harapan ,19,5,24,5,11,0,0,0,0,5,12,2,0,0,0,0,0,0,0
1,13011,Sekolah Tinggi Teknik Harapan ,94,8,102,2,92,0,0,0,0,22,62,0,0,0,0,0,0,0,10
1,13020,Sekolah Tinggi Ilmu Hukum Benteng Huraba ,3,8,11,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0
1,13022,Sekolah Tinggi Ilmu Ekonomi Nusa Bangsa ,19,0,19,4,6,0,0,0,0,7,12,0,0,0,0,0,0,0,0
1,13024,Sekolah Tinggi Olahraga Dan Kesehatan Bina Guna ,21,5,26,0,21,0,0,0,0,11,10,0,0,0,0,0,0,0,0
1,13026,Sekolah Tinggi Teologi HKBP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13027,Sekolah Tinggi Ilmu Ekonomi Pelita Bangsa ,18,9,27,0,18,0,0,0,0,12,5,0,0,0,0,0,0,0,1
1,13028,STKIP Pelita Bangsa ,83,95,178,0,83,0,0,0,0,59,18,0,0,0,0,0,0,0,6
1,13029,STKIP Budi Daya ,65,88,153,4,61,0,0,0,0,15,44,0,0,0,0,0,0,0,6
1,13030,Sekolah Tinggi Ilmu Ekonomi Al-Washliyah ,13,8,21,0,13,0,0,0,0,6,7,0,0,0,0,0,0,0,0
1,13031,STKIP Tapanuli Selatan ,76,78,154,9,67,0,0,0,0,14,60,0,0,0,0,0,0,0,2
1,13036,Sekolah Tinggi Pertanian Benteng Huraba ,2,26,28,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,13041,Sekolah Tinggi Teknologi Immanuel ,10,7,17,3,7,0,0,0,0,5,5,0,0,0,0,0,0,0,0
1,13042,Sekolah Tinggi Ilmu Komunikasi Pembangunan ,12,8,20,0,12,0,0,0,0,3,9,0,0,0,0,0,0,0,0
1,13043,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Kisaran ,12,15,27,0,12,0,0,0,0,2,6,0,0,0,0,0,0,0,4
1,13047,Sekolah Tinggi Ilmu Ekonomi Mars ,7,5,12,1,6,0,0,0,0,3,3,1,0,0,0,0,0,0,0
1,13051,Sekolah Tinggi Ilmu Ekonomi Surya Nusantara ,10,7,17,2,8,0,0,0,0,1,9,0,0,0,0,0,0,0,0
1,13060,Sekolah Tinggi Ilmu Hukum Muhammadiyah Kisaran ,6,11,17,1,5,0,0,0,0,5,1,0,0,0,0,0,0,0,0
1,13061,STMIK Budi Darma ,107,2,109,19,88,0,0,0,0,51,55,1,0,0,0,0,0,0,0
1,13063,STMIK Mikroskil ,114,6,120,12,99,0,0,0,0,80,31,2,0,0,0,0,0,0,1
1,13064,Sekolah Tinggi Ilmu Ekonomi Tricom ,10,0,10,0,10,0,0,0,0,5,5,0,0,0,0,0,0,0,0
1,13066,Sekolah Tinggi Ilmu Ekonomi Al-Hikmah ,8,22,30,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0
1,13067,Sekolah Tinggi Ilmu Ekonomi Eka Prasetya ,15,6,21,0,13,0,0,0,0,3,12,0,0,0,0,0,0,0,0
1,13068,Sekolah Tinggi Ilmu Ekonomi Graha Kirana ,22,1,23,1,21,0,0,0,0,12,10,0,0,0,0,0,0,0,0
1,13069,Sekolah Tinggi Ilmu Hukum Graha Kirana ,6,2,8,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1,13070,Sekolah Tinggi Ilmu Hukum Al-hikmah ,10,12,22,0,10,0,0,0,0,7,3,0,0,0,0,0,0,0,0
1,13071,Sekolah Tinggi Ilmu Ekonomi Indonesia Medan ,9,0,9,0,9,0,0,0,0,2,7,0,0,0,0,0,0,0,0
1,13072,STMIK Sisingamangaraja XII ,8,12,20,5,3,0,0,0,0,2,6,0,0,0,0,0,0,0,0
1,13073,Sekolah Tinggi Ilmu Ekonomi Labuhan Batu ,31,4,35,3,28,0,0,0,0,2,28,0,0,0,0,0,0,0,1
1,13074,Sekolah Tinggi Ilmu Ekonomi IBBI ,60,25,85,34,26,0,0,0,0,4,56,0,0,0,0,0,0,0,0
1,13076,Sekolah Tinggi Ilmu Ekonomi Y P Kampus ,6,6,12,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0
1,13077,Sekolah Tinggi Ilmu Ekonomi LMII ,15,16,31,0,15,0,0,0,0,1,9,1,0,0,0,0,0,0,4
1,13081,Sekolah Tinggi Ilmu Ekonomi Riama ,1,7,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,13082,STKIP Labuhan Batu ,46,45,91,0,46,0,0,0,0,6,35,0,0,0,0,0,0,0,5
1,13083,Sekolah Tinggi Ilmu Pertanian Labuhan Batu ,8,3,11,1,7,0,0,0,0,0,7,0,0,0,0,0,0,0,1
1,13084,Sekolah Tinggi Ilmu Hukum Labuhan Batu ,21,0,21,5,16,0,0,0,0,9,12,0,0,0,0,0,0,0,0
1,13085,Sekolah Tinggi Ilmu Manajemen Sukma ,19,4,23,9,10,0,0,0,0,1,17,1,0,0,0,0,0,0,0
1,13088,Sekolah Tinggi Ilmu Ekonomi Sultan Agung ,34,1,35,2,32,0,0,0,0,12,9,1,0,0,0,0,0,0,12
1,13089,Sekolah Tinggi Ilmu Ekonomi Pembangunan ,15,3,18,0,15,0,0,0,0,7,7,0,0,0,0,0,0,0,1
1,13090,Sekolah Tinggi Filsafat Theologi S Nusantara ,6,3,9,3,3,0,0,1,0,0,2,3,0,0,0,0,0,0,0
1,13091,Sekolah Tinggi Ilmu Ekonomi ITMI Medan ,19,1,20,1,18,0,0,0,0,9,10,0,0,0,0,0,0,0,0
1,13095,Sekolah Tinggi Perikanan Sibolga ,15,23,38,0,15,0,0,0,1,8,5,0,0,0,0,0,0,0,1
1,13097,Sekolah Tinggi Ilmu Ekonomi Bina Karya ,14,22,36,0,14,0,0,0,0,4,5,0,0,0,0,0,0,0,5
1,13098,Sekolah Tinggi Ilmu Bahasa Asing ITMI Medan ,6,1,7,0,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0
1,13099,STIE IBMI Medan ,23,4,27,0,23,0,0,0,0,9,13,0,0,0,0,0,0,0,1
